,Date,Open,High,Low,Close,Adj Close,Volume,Close-Open,High-Low,ret,volume_ma_253,volume_dev,range,var
252,1994-01-27,47.40625,47.8125,47.34375,47.75,28.462194442749023,344500,0.34375,0.46875,0.009247338924832427,228970.7509881423,1.5045589819366956,0.009900990099009901,1.4536808835629563e-05
253,1994-01-28,47.9375,48.03125,47.875,47.875,28.53670310974121,356500,-0.0625,0.15625,0.0026178117482142937,226414.62450592886,1.574544934002992,0.0032637075718015664,1.3864590592714304e-05
254,1994-01-31,48.0625,48.3125,48.0,48.21875,28.741588592529297,313800,0.15625,0.3125,0.0071797180634418645,225755.73122529645,1.3899979340362278,0.006510416666666667,1.7438846710940908e-05
255,1994-02-01,48.15625,48.15625,47.90625,47.96875,28.59258079528809,303600,-0.1875,0.25,-0.005184396706587657,226160.0790513834,1.342411982138644,0.005218525766470972,2.2231363710959473e-05
256,1994-02-02,48.125,48.28125,48.09375,48.28125,28.77885437011719,307600,0.15625,0.1875,0.006514752066724805,225283.39920948618,1.3653913296734723,0.003898635477582846,2.3095004264160986e-05
257,1994-02-03,48.1875,48.1875,47.90625,48.0625,28.64846611022949,466100,-0.125,0.28125,-0.004530696677873758,225024.90118577075,2.071326317860298,0.005870841487279843,2.7174090765474775e-05
258,1994-02-04,48.0625,48.125,46.96875,46.96875,27.99653434753418,1403200,-1.09375,1.15625,-0.02275625369214873,228626.08695652173,6.13753232922562,0.024617431803060547,8.528118190253051e-05
259,1994-02-07,46.84375,47.3125,46.84375,47.1875,28.126909255981445,516400,0.34375,0.46875,0.004656823120635645,228311.0671936759,2.2618264035441555,0.01000667111407605,8.669938477949012e-05
260,1994-02-08,47.28125,47.28125,47.03125,47.21875,28.14553642272949,188200,-0.0625,0.25,0.0006622543052461349,228572.33201581027,0.8233717455662231,0.0053156146179402,8.673744876075484e-05
261,1994-02-09,47.25,47.4375,47.1875,47.40625,28.257293701171875,144600,0.15625,0.25,0.003970692786374963,227643.47826086957,0.6352037892967646,0.005298013245033113,8.765936660542035e-05
262,1994-02-10,47.375,47.40625,47.0,47.0,28.01513671875,883900,-0.375,0.40625,-0.008569716016783024,231060.0790513834,3.825412003790743,0.008643617021276596,8.373225089884046e-05
263,1994-02-11,47.03125,47.28125,46.8125,47.15625,28.1082706451416,519400,0.125,0.46875,0.0033244144880173465,232945.05928853754,2.229710308457948,0.010013351134846462,8.443566357558939e-05
264,1994-02-14,47.0625,47.375,47.0,47.21875,28.14553642272949,2742100,0.15625,0.375,0.0013257940361524057,242301.976284585,11.316870138852638,0.007978723404255319,7.660611423803264e-05
265,1994-02-15,47.3125,47.5,47.25,47.46875,28.29455757141113,374700,0.15625,0.25,0.005294663652645637,242949.4071146245,1.542296416567154,0.005291005291005291,8.03082816948171e-05
266,1994-02-16,47.53125,47.53125,47.34375,47.4375,28.27591896057129,287600,-0.09375,0.1875,-0.0006587348394757608,242591.69960474307,1.1855310815192333,0.0039603960396039604,7.345774492677278e-05
267,1994-02-17,47.65625,47.6875,47.03125,47.15625,28.1082706451416,342400,-0.5,0.65625,-0.005929013860290877,243807.11462450592,1.4043888773604483,0.013953488372093023,7.452415242376229e-05
268,1994-02-18,47.1875,47.21875,46.75,46.875,27.940631866455078,313300,-0.3125,0.46875,-0.005964037446590464,243015.41501976285,1.2892186282689984,0.010026737967914439,2.4774977387862136e-05
