Date,Open,High,Low,Close,Adj Close,Volume,Close-Open,High-Low
1993-12-21,46.5625,46.5625,46.40625,46.46875,27.698474884033203,205700,-0.09375,0.15625
1993-12-22,46.59375,46.8125,46.5,46.78125,27.884756088256836,410300,0.1875,0.3125
1993-12-23,46.75,46.84375,46.6875,46.75,27.866127014160156,533800,0.0,0.15625
1993-12-27,46.75,47.0,46.75,47.0,28.01513671875,447100,0.25,0.25
1993-12-28,46.96875,47.125,46.9375,47.09375,28.071027755737305,880600,0.125,0.1875
1993-12-29,47.125,47.15625,47.0,47.03125,28.033777236938477,266700,-0.09375,0.15625
1993-12-30,47.0,47.0,46.75,46.84375,27.92200469970703,219900,-0.15625,0.25
1993-12-31,46.9375,47.0,46.5625,46.59375,27.77298927307129,312900,-0.34375,0.4375
1994-01-03,46.59375,46.65625,46.40625,46.46875,27.698474884033203,960900,-0.125,0.25
1994-01-04,46.53125,46.65625,46.46875,46.65625,27.810266494750977,164300,0.125,0.1875
1994-01-05,46.71875,46.78125,46.53125,46.75,27.866127014160156,710900,0.03125,0.25
1994-01-06,46.8125,46.84375,46.6875,46.75,27.866127014160156,201000,-0.0625,0.15625
1994-01-07,46.84375,47.0625,46.71875,47.03125,28.033777236938477,775500,0.1875,0.34375
1994-01-10,47.09375,47.59375,46.96875,47.59375,28.36905288696289,593700,0.5,0.625
1994-01-11,47.5625,47.5625,47.34375,47.5,28.313182830810547,295200,-0.0625,0.21875
1994-01-12,47.53125,47.53125,47.1875,47.34375,28.22003936767578,158400,-0.1875,0.34375
1994-01-13,47.21875,47.3125,47.15625,47.21875,28.145536422729492,244300,0.0,0.15625
1994-01-14,47.375,47.5,47.375,47.40625,28.257293701171875,137200,0.03125,0.125
1994-01-17,47.40625,47.46875,47.3125,47.40625,28.257293701171875,17700,0.0,0.15625
1994-01-18,47.46875,47.53125,47.375,47.46875,28.294557571411133,166400,0.0,0.15625
1994-01-19,47.40625,47.46875,47.25,47.34375,28.22003936767578,200800,-0.0625,0.21875
1994-01-20,47.40625,47.5,47.375,47.46875,28.294557571411133,281100,0.0625,0.125
1994-01-21,47.53125,47.53125,47.34375,47.375,28.238676071166992,85600,-0.15625,0.1875
1994-01-24,47.34375,47.5625,47.1875,47.1875,28.126909255981445,373800,-0.15625,0.375
1994-01-25,47.21875,47.25,47.09375,47.1875,28.126909255981445,310400,-0.03125,0.15625
1994-01-26,47.1875,47.34375,47.125,47.3125,28.201406478881836,145100,0.125,0.21875
1994-01-27,47.40625,47.8125,47.34375,47.75,28.462194442749023,344500,0.34375,0.46875
1994-01-28,47.9375,48.03125,47.875,47.875,28.53670310974121,356500,-0.0625,0.15625
1994-01-31,48.0625,48.3125,48.0,48.21875,28.741588592529297,313800,0.15625,0.3125
1994-02-01,48.15625,48.15625,47.90625,47.96875,28.592580795288086,303600,-0.1875,0.25
1994-02-02,48.125,48.28125,48.09375,48.28125,28.778854370117188,307600,0.15625,0.1875
1994-02-03,48.1875,48.1875,47.90625,48.0625,28.648466110229492,466100,-0.125,0.28125
1994-02-04,48.0625,48.125,46.96875,46.96875,27.99653434753418,1403200,-1.09375,1.15625
1994-02-07,46.84375,47.3125,46.84375,47.1875,28.126909255981445,516400,0.34375,0.46875
1994-02-08,47.28125,47.28125,47.03125,47.21875,28.145536422729492,188200,-0.0625,0.25
1994-02-09,47.25,47.4375,47.1875,47.40625,28.257293701171875,144600,0.15625,0.25
1994-02-10,47.375,47.40625,47.0,47.0,28.01513671875,883900,-0.375,0.40625
1994-02-11,47.03125,47.28125,46.8125,47.15625,28.1082706451416,519400,0.125,0.46875
1994-02-14,47.0625,47.375,47.0,47.21875,28.145536422729492,2742100,0.15625,0.375
1994-02-15,47.3125,47.5,47.25,47.46875,28.294557571411133,374700,0.15625,0.25
1994-02-16,47.53125,47.53125,47.34375,47.4375,28.27591896057129,287600,-0.09375,0.1875
1994-02-17,47.65625,47.6875,47.03125,47.15625,28.1082706451416,342400,-0.5,0.65625
1994-02-18,47.1875,47.21875,46.75,46.875,27.940631866455078,313300,-0.3125,0.46875
1994-02-22,47.0,47.34375,47.0,47.34375,28.22003936767578,154500,0.34375,0.34375
1994-02-23,47.40625,47.4375,47.0625,47.21875,28.145536422729492,391700,-0.1875,0.375
1994-02-24,47.0625,47.0625,46.5625,46.59375,27.77298927307129,770800,-0.46875,0.5
1994-02-25,46.65625,46.8125,46.5625,46.8125,27.903383255004883,531300,0.15625,0.25
1994-02-28,46.9375,47.0625,46.8125,46.8125,27.903383255004883,333000,-0.125,0.25
1994-03-01,46.8125,46.90625,46.375,46.625,27.791622161865234,423600,-0.1875,0.53125
1994-03-02,46.03125,46.6875,45.90625,46.6875,27.828887939453125,581500,0.65625,0.78125
1994-03-03,46.625,46.625,46.4375,46.5625,27.75436782836914,223200,-0.0625,0.1875
1994-03-04,46.5625,46.8125,46.40625,46.6875,27.828887939453125,595800,0.125,0.40625
1994-03-07,46.84375,47.0,46.84375,46.9375,27.97788429260254,539800,0.09375,0.15625
1994-03-08,46.96875,46.96875,46.6875,46.75,27.866127014160156,880300,-0.21875,0.28125
1994-03-09,46.8125,47.0,46.59375,46.96875,27.99653434753418,2500100,0.15625,0.40625
1994-03-10,46.9375,46.9375,46.4375,46.59375,27.77298927307129,207400,-0.34375,0.5
1994-03-11,46.65625,46.90625,46.40625,46.84375,27.92200469970703,576600,0.1875,0.5
1994-03-14,47.03125,47.03125,46.84375,46.90625,27.959270477294922,345900,-0.125,0.1875
1994-03-15,47.0,47.09375,46.84375,46.875,27.940631866455078,748600,-0.125,0.25
1994-03-16,46.9375,47.25,46.78125,47.25,28.164155960083008,455500,0.3125,0.46875
1994-03-17,47.09375,47.3125,47.09375,47.25,28.164155960083008,133000,0.15625,0.21875
